track_title,line,lyric
A Day in the Life,1,"I read the news today, oh boy"
A Day in the Life,2,About a lucky man who made the grade
A Day in the Life,3,And though the news was rather sad
A Day in the Life,4,"Well, I just had to laugh"
A Day in the Life,5,I saw the photograph
A Day in the Life,6,He blew his mind out in a car
A Day in the Life,7,He didn't notice that the lights had changed
A Day in the Life,8,A crowd of people stood and stared
A Day in the Life,9,They'd seen his face before
A Day in the Life,10,Nobody was really sure if he was from the House of Lords
A Day in the Life,11,"I saw a film today, oh boy"
A Day in the Life,12,The English Army had just won the war
A Day in the Life,13,A crowd of people turned away
A Day in the Life,14,But I just had to look
A Day in the Life,15,Having read the book
A Day in the Life,16,I'd love to turn you on
A Day in the Life,17,NA
A Day in the Life,18,"Woke up, fell out of bed"
A Day in the Life,19,Dragged a comb across my head
A Day in the Life,20,Found my way downstairs and drank a cup
A Day in the Life,21,And looking up I noticed I was late
A Day in the Life,22,Found my coat and grabbed my hat
A Day in the Life,23,Made the bus in seconds flat
A Day in the Life,24,Found my way upstairs and had a smoke
A Day in the Life,25,And somebody spoke and I went into a dream
A Day in the Life,26,"I read the news today, oh boy"
A Day in the Life,27,"4,000 holes in Blackburn, Lancashire"
A Day in the Life,28,And though the holes were rather small
A Day in the Life,29,They had to count them all
A Day in the Life,30,Now they know how many holes it takes to fill the Albert Hall
A Day in the Life,31,I'd love to turn you on
A Day in the Life,32,NA
A Hard Day’s Night,1,It's been a hard day's night
A Hard Day’s Night,2,And I've been working like a dog
A Hard Day’s Night,3,It's been a hard day's night
A Hard Day’s Night,4,I should be sleeping like a log
A Hard Day’s Night,5,But when I get home to you
A Hard Day’s Night,6,I find the things that you do
A Hard Day’s Night,7,Will make me feel alright
A Hard Day’s Night,8,You know I work all day
A Hard Day’s Night,9,To get you money to buy you things
A Hard Day’s Night,10,And it's worth it just to hear you say
A Hard Day’s Night,11,You're gonna give me everything
A Hard Day’s Night,12,So why on earth should I moan
A Hard Day’s Night,13,Because when I get you alone
A Hard Day’s Night,14,You know I feel okay
A Hard Day’s Night,15,When I'm home everything seems to be right
A Hard Day’s Night,16,"When I'm home feeling you holding me tight, tight, yeh"
A Hard Day’s Night,17,It's been a hard day's night
A Hard Day’s Night,18,And I've been working like a dog
A Hard Day’s Night,19,It's been a hard day's night
A Hard Day’s Night,20,I should be sleeping like a log
A Hard Day’s Night,21,But when I get home to you
A Hard Day’s Night,22,I find the things that you do
A Hard Day’s Night,23,Will make me feel alright
A Hard Day’s Night,24,Ah!
A Hard Day’s Night,25,NA
A Hard Day’s Night,26,So why on Earth should I moan
A Hard Day’s Night,27,'Cause when I get you alone
A Hard Day’s Night,28,You know I feel okay
A Hard Day’s Night,29,When I'm home everything seems to be right
A Hard Day’s Night,30,"When I'm home feeling  you holding me tight, tight, yeh"
A Hard Day’s Night,31,It's been a hard day's night
A Hard Day’s Night,32,And I've been working like a dog
A Hard Day’s Night,33,It's been a hard day's night
A Hard Day’s Night,34,I should be sleeping like a log
A Hard Day’s Night,35,But when I get home to you
A Hard Day’s Night,36,I find the things that you do
A Hard Day’s Night,37,Will make me feel alright
A Hard Day’s Night,38,You know I feel alright
A Hard Day’s Night,39,You know I feel alright
Across the Universe,1,Words are flowing out like endless rain into a paper cup
Across the Universe,2,"They slither while they pass, they slip away across the universe"
Across the Universe,3,"Pools of sorrow, waves of joy are drifting through my opened mind"
Across the Universe,4,Possessing and caressing me
Across the Universe,5,"Jai Guru Deva, OmNothing's gonna change my world"
Across the Universe,6,Nothing's gonna change my world
Across the Universe,7,Nothing's gonna change my world
Across the Universe,8,Nothing's gonna change my world
Across the Universe,9,Images of broken light which dance before me like a million eyes
Across the Universe,10,They call me on and on across the universe
Across the Universe,11,Thoughts meander like a restless wind inside a letter box
Across the Universe,12,They tumble blindly as they make their way across the universe
Across the Universe,13,"Jai Guru Deva, OmNothing's gonna change my world"
Across the Universe,14,Nothing's gonna change my world
Across the Universe,15,Nothing's gonna change my world
Across the Universe,16,Nothing's gonna change my world
Across the Universe,17,"Sounds of laughter, shades of life are ringing through my open ears"
Across the Universe,18,Inciting and inviting me
Across the Universe,19,Limitless undying love which shines around me like a million suns
Across the Universe,20,It calls me on and on across the universe
Across the Universe,21,"Jai Guru Deva, OmNothing's gonna change my world"
Across the Universe,22,Nothing's gonna change my world
Across the Universe,23,Nothing's gonna change my world
Across the Universe,24,Nothing's gonna change my world
