song,release,songwriter,lead_vocal,year_released
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,John Lennon/Paul McCartney,John Lennon/Paul McCartney,1967
A Hard Day's Night,A Hard Day's Night,John Lennon/Paul McCartney,John Lennon(with Paul McCartney),1964
Across the Universe,Let It Be,John Lennon/Paul McCartney,John Lennon,1969
All I've Got to Do,With the Beatles,John Lennon/Paul McCartney,John Lennon,1963
All My Loving,With the Beatles,John Lennon/Paul McCartney,Paul McCartney,1963
All Together Now,Yellow Submarine,John Lennon/Paul McCartney,Paul McCartney(with John Lennon),1969
All You Need Is Love,Magical Mystery Tour,John Lennon/Paul McCartney,John Lennon,1967
And I Love Her,A Hard Day's Night,John Lennon/Paul McCartney,Paul McCartney,1964
And Your Bird Can Sing,Revolver,John Lennon/Paul McCartney,John Lennon,1966
Another Girl,Help!,John Lennon/Paul McCartney,Paul McCartney,1965
Any Time at All,A Hard Day's Night,John Lennon/Paul McCartney,John Lennon(with Paul McCartney),1964
Ask Me Why,Please Please Me,John Lennon/Paul McCartney,John Lennon,1963
"Baby, You're a Rich Man",Magical Mystery Tour,John Lennon/Paul McCartney,John Lennon,1967
Baby's in Black,Beatles for Sale,John Lennon/Paul McCartney,John Lennon/Paul McCartney,1964
Back in the U.S.S.R.,"The Beatles (""White Album"")",John Lennon/Paul McCartney,Paul McCartney,1968
Because,Abbey Road,John Lennon/Paul McCartney,John Lennon/Paul McCartney/George Harrison,1969
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,John Lennon/Paul McCartney,John Lennon,1967
Birthday,"The Beatles (""White Album"")",John Lennon/Paul McCartney,Paul McCartney(with John Lennon),1968
Blackbird,"The Beatles (""White Album"")",John Lennon/Paul McCartney,Paul McCartney,1968
Blue Jay Way,Magical Mystery Tour,George Harrison,George Harrison,1967
Can't Buy Me Love,A Hard Day's Night,John Lennon/Paul McCartney,Paul McCartney,1964
Carry That Weight,Abbey Road,John Lennon/Paul McCartney,Paul McCartney(with John Lennon/George Harrison/Ringo Starr),1969
Come Together,Abbey Road,John Lennon/Paul McCartney,John Lennon,1969
Cry Baby Cry,"The Beatles (""White Album"")",John Lennon/Paul McCartney,John Lennon(with Paul McCartney),1968
Day Tripper,"Past Masters(Double A-side with ""We Can Work It Out"")",John Lennon/Paul McCartney,John Lennon/Paul McCartney,1965
Dear Prudence,"The Beatles (""White Album"")",John Lennon/Paul McCartney,John Lennon,1968
Dig a Pony,Let It Be,John Lennon/Paul McCartney,John Lennon,1970
Dig It,Let It Be,John Lennon/Paul McCartney/George Harrison/Richard Starkey,John Lennon,1970
Do You Want to Know a Secret,Please Please Me,John Lennon/Paul McCartney,George Harrison,1963
Doctor Robert,Revolver,John Lennon/Paul McCartney,John Lennon,1966
Don't Bother Me,With the Beatles,George Harrison,George Harrison,1963
Don't Let Me Down,"Past Masters(B-side of ""Get Back"")",John Lennon/Paul McCartney,John Lennon,1969
Don't Pass Me By,"The Beatles (""White Album"")",Richard Starkey,Ringo Starr,1968
Drive My Car,Rubber Soul,John Lennon/Paul McCartney,Paul McCartney(with John Lennon),1965
Eight Days a Week,Beatles for Sale,John Lennon/Paul McCartney,John Lennon/Paul McCartney,1964
Eleanor Rigby,Revolver,John Lennon/Paul McCartney,Paul McCartney,1966
