song,single,album,writer,composer,issue
アイ,SOUL LOVE,"rare collectives vol.2
",HISASHI,HISASHI,1998-04-29
I am xxx,I am xxx,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-05-25
I will～,"","LOVE IS BEAUTIFUL
",TERU,TERU,2007-01-31
逢いたい気持ち,逢いたい気持ち,"WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2002-07-31
I'm in Love,"","pure soul
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1998-07-29
I'm yours,HOWEVER,"rare collectives vol.1
",TAKURO,TAKURO,1997-08-06
I'm yours（Knightmare mix '99）,"","rare collectives vol.2
",TAKURO,TAKURO Remixed by HISASHI,1999-07-31
I LOVE YOU をさがしてる,紅と黒のMATADORA / I LOVE YOUをさがしてる,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2008-09-10
紅と黒のMATADORA,紅と黒のMATADORA / I LOVE YOUをさがしてる,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2008-09-10
ASHES -1969-,Ashes.EP,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2007-10-31
ACID HEAD,ずっと2人で・・・,"rare collectives vol.1
",TAKURO&TERU,TAKURO,1995-05-17
ACID HEAD（再録）,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO&TERU,TAKURO,2009-10-21
あなたといきてゆく,"WINTERDELICS.EP ～あなたといきてゆく～
","",TAKURO,TAKURO,2017-11-22
あの夏から一番遠い場所,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
あの夏から一番遠い場所 (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 中国版
","",TAKURO,TAKURO,2004-05-25
あの日の少年,"Bible
","",TAKURO,TAKURO,2012-05-23
"absolute""ZERO""","","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,JIRO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
a Boy～ずっと忘れない～,a Boy～ずっと忘れない～,"BELOVED
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1996-11-11
Apologize,Apologize,"GLAY
",TAKURO,TAKURO GLAY&MASAHIDE SAKUMA,2010-04-01
AMERICAN INNOVATION,"","LOVE IS BEAUTIFUL
",TAKURO,JIRO,2007-01-31
ANSWER(GLAY feat.KYOSUKE HIMURO),ANSWER,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～

",TAKURO,TAKURO,2006-08-02
"Yes, Summerdays","Yes, Summerdays","BEAT out!
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-08-09
生きがい,"","HEAVY GAUGE
DRIVE -GLAY complete BEST-
",TAKURO,TAKURO,1999-10-20
生きてく強さ,生きてく強さ,"BEAT out!
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-11-08
生きてく強さ（再録）,"","rare collectives vol.4
",TAKURO,TAKURO,2011-03-09
1988,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",HISASHI,HISASHI,2009-10-21
いつか,いつか,"rare collectives vol.2
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2003-03-05
いつかの夏に耳をすませば,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-06-10
It's dying It's not dying,BE WITH YOU,"rare collectives vol.1
",TAKURO,TAKURO,1998-11-25
INNOCENCE,彼女の“Modern⋯”,"SPEED POP
rare collectives vol.1
",TAKURO,TAKURO,1994-11-16
INNOCENCE Live Version,"Yes, Summerdays","rare collectives vol.1
",TAKURO,TAKURO,1995-08-09
if～灰とダイヤモンド～,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
VERB,VERB,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,
WE ALL FEEL HIS STRENGTH OF TENDER,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
WITH OR WITHOUT YOU,VERB,"rare collectives vol.4

",Bono/The Edge/Adam Clayton/Larry Mullen,Bono/The Edge/Adam Clayton/Larry Mullen,2008-06-11
"Winter,again","Winter,again","HEAVY GAUGE
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1999-02-03
"Winter,again(inspired by Hope and The Silver Sunrise)","","Hope and The Silver Sunrise
",TAKURO,TAKURO,2011-12-14
Will Be King,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-30
Way of Difference,Way of Difference,"UNITY ROOTS & FAMILY, AWAY
WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2002-02-27
WET DREAM,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
WASTED TIME,"","GLAY
",TAKURO,TAKURO,2010-10-13
愁いのPrisoner,"愁いのPrisoner/YOUR SONG

","",TAKURO,TAKURO,2018-10-15
浮気なKISS ME GIRL,"","MUSIC LIFE
",TAKURO,TAKURO GLAY,2014-11-05
運命論,運命論,"JUSTICE
",TAKURO,JIROunmeiron.asx,2012-12-05
笑顔の多い日ばかりじゃない,ホワイトロード,"rare collectives vol.3
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2004-12-08
Eternally,DARK RIVER / Eternally / 時計,"MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,2013-07-24
XYZ,"","SUMMERDELICS
",TAKURO,TAKURO,2017-07-12
everKrack,"G4・II -THE RED MOON-
","",HISASHI,HISASHI,2011-10-05
everKrack (album ver.),"","GUILTY
",HISASHI,HISASHI,2013-01-23
everKrack (GLAY HIGHCOMMUNICATIONS TOUR 2016 “Supernova”),"[DEATHTOPIA]
","",HISASHI ,HISASHI  GLAY・佐久間正英,2016-08-03
おまえと供にある,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
ALL I WANT,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
ALL I WANT (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 東海版
","",TAKURO,TAKURO,2004-12-08
ALL STANDARD IS YOU,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
