team_name,number,team_logo_svg,team_logo_png
Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/109.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Arizona-Diamondbacks.png
Atlanta Braves,144,https://www.mlbstatic.com/team-logos/144.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Atlanta-Braves.png
Baltimore Orioles,110,https://www.mlbstatic.com/team-logos/110.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Baltimore-Orioles.png
Boston Red Sox,111,https://www.mlbstatic.com/team-logos/111.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Boston-Red-Sox.png
Chicago Cubs,112,https://www.mlbstatic.com/team-logos/112.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Chicago-Cubs.png
Chicago White Sox,145,https://www.mlbstatic.com/team-logos/145.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Chicago-White-Sox.png
Cincinnati Reds,113,https://www.mlbstatic.com/team-logos/113.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Cincinnati-Reds.png
Cleveland Indians,114,https://www.mlbstatic.com/team-logos/114.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Cleveland-Indians.png
Colorado Rockies,115,https://www.mlbstatic.com/team-logos/115.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Colorado-Rockies.png
Detroit Tigers,116,https://www.mlbstatic.com/team-logos/116.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Detroit-Tigers.png
Houston Astros,117,https://www.mlbstatic.com/team-logos/117.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Houston-Astros.png
Kansas City Royals,118,https://www.mlbstatic.com/team-logos/118.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Kansas-City-Royals.png
Los Angeles Angels,108,https://www.mlbstatic.com/team-logos/108.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Los-Angeles-Angels.png
Los Angeles Dodgers,119,https://www.mlbstatic.com/team-logos/119.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Los-Angeles-Dodgers.png
Miami Marlins,146,https://www.mlbstatic.com/team-logos/146.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/Miami-Marlins.png
Milwaukee Brewers,158,https://www.mlbstatic.com/team-logos/158.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Milwaukee-Brewers.png
Minnesota Twins,142,https://www.mlbstatic.com/team-logos/142.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Minnesota-Twins.png
New York Mets,121,https://www.mlbstatic.com/team-logos/121.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/New-York-Mets.png
New York Yankees,147,https://www.mlbstatic.com/team-logos/147.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/New-York-Yankees.png
Oakland Athletics,133,https://www.mlbstatic.com/team-logos/133.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Oakland-Athletics.png
Philadelphia Phillies,143,https://www.mlbstatic.com/team-logos/143.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Philadelphia-Phillies.png
Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/134.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Pittsburgh-Pirates.png
San Diego Padres,135,https://www.mlbstatic.com/team-logos/135.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/San-Diego-Padres.png
San Francisco Giants,137,https://www.mlbstatic.com/team-logos/137.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/San-Francisco-Giants.png
Seattle Mariners,136,https://www.mlbstatic.com/team-logos/136.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Seattle-Mariners.png
St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/138.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/St.-Louis-Cardinals.png
Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/139.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Tampa-Bay-Rays.png
Texas Rangers,140,https://www.mlbstatic.com/team-logos/140.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Texas-Rangers.png
Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/141.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Toronto-Blue-Jays.png
Washington Nationals,120,https://www.mlbstatic.com/team-logos/120.svg,https://i1.wp.com/sportleaguemaps.com/wp-content/uploads/2018/07/Washington-Nationals.png
