year,team_name,winning_team,attend_times,win_times,lose_times,winning_manager,win,lose,tie,losing_team,losing_manager
1903,Boston Red Sox,Boston Americans,1,1,0,Jimmy Collins,5,3,0,Pittsburgh Pirates,Fred Clarke
1905,San Francisco Giants,New York Giants,1,1,0,John McGraw,4,1,0,Philadelphia Athletics,Connie Mack
1906,Chicago White Sox,Chicago White Sox,1,1,0,Fielder Jones,4,2,0,Chicago Cubs,Frank Chance
1907,Chicago Cubs,Chicago Cubs,2,1,1,Frank Chance,4,0,1,Detroit Tigers,Hugh Jennings
1908,Chicago Cubs,Chicago Cubs,3,2,1,Frank Chance,4,1,0,Detroit Tigers,Hugh Jennings
1909,Pittsburgh Pirates,Pittsburgh Pirates,2,1,1,Fred Clarke,4,3,0,Detroit Tigers,Hugh Jennings
1910,Oakland Athletics,Philadelphia Athletics,2,1,1,Connie Mack,4,1,0,Chicago Cubs,Frank Chance
1911,Oakland Athletics,Philadelphia Athletics,3,2,1,Connie Mack,4,2,0,New York Giants,John McGraw
1912,Boston Red Sox,Boston Red Sox,2,2,0,Jake Stahl,4,3,1,New York Giants,John McGraw
1913,Oakland Athletics,Philadelphia Athletics,4,3,1,Connie Mack,4,1,0,New York Giants,John McGraw
1914,Atlanta Braves,Boston Braves,1,1,0,George Stallings,4,0,0,Philadelphia Athletics,Connie Mack
1915,Boston Red Sox,Boston Red Sox,3,3,0,Bill Carrigan,4,1,0,Philadelphia Phillies,Pat Moran
1916,Boston Red Sox,Boston Red Sox,4,4,0,Bill Carrigan,4,1,0,Brooklyn Robins,Wilbert Robinson
1917,Chicago White Sox,Chicago White Sox,2,2,0,Pants Rowland,4,2,0,New York Giants,John McGraw
1918,Boston Red Sox,Boston Red Sox,5,5,0,Ed Barrow,4,2,0,Chicago Cubs,Fred Mitchell
1919,Cincinnati Reds,Cincinnati Reds,1,1,0,Pat Moran,5,3,0,Chicago White Sox,Kid Gleason
1920,Cleveland Indians,Cleveland Indians,1,1,0,Tris Speaker,5,2,0,Brooklyn Robins,Wilbert Robinson
1921,San Francisco Giants,New York Giants,6,2,4,John McGraw,5,3,0,New York Yankees,Miller Huggins
1922,San Francisco Giants,New York Giants,7,3,4,John McGraw,4,0,1,New York Yankees,Miller Huggins
1923,New York Yankees,New York Yankees,3,1,2,Miller Huggins,4,2,0,New York Giants,John McGraw
1924,Minnesota Twins,Washington Senators,1,1,0,Bucky Harris,4,3,0,New York Giants,John McGraw
1925,Pittsburgh Pirates,Pittsburgh Pirates,3,2,1,Bill McKechnie,4,3,0,Washington Senators,Bucky Harris
1926,St. Louis Cardinals,St. Louis Cardinals,1,1,0,Rogers Hornsby,4,3,0,New York Yankees,Miller Huggins
1927,New York Yankees,New York Yankees,5,2,3,Miller Huggins,4,0,0,Pittsburgh Pirates,Donie Bush
1928,New York Yankees,New York Yankees,6,3,3,Miller Huggins,4,0,0,St. Louis Cardinals,Bill McKechnie
1929,Oakland Athletics,Philadelphia Athletics,6,4,2,Connie Mack,4,1,0,Chicago Cubs,Joe McCarthy
1930,Oakland Athletics,Philadelphia Athletics,7,5,2,Connie Mack,4,2,0,St. Louis Cardinals,Gabby Street
1931,St. Louis Cardinals,St. Louis Cardinals,4,2,2,Gabby Street,4,3,0,Philadelphia Athletics,Connie Mack
1932,New York Yankees,New York Yankees,7,4,3,Joe McCarthy,4,0,0,Chicago Cubs,Charlie Grimm
1933,San Francisco Giants,New York Giants,10,4,6,Bill Terry,4,1,0,Washington Senators,Joe Cronin
1934,St. Louis Cardinals,St. Louis Cardinals,5,3,2,Frank Frisch,4,3,0,Detroit Tigers,Mickey Cochrane
1935,Detroit Tigers,Detroit Tigers,5,1,4,Mickey Cochrane,4,2,0,Chicago Cubs,Charlie Grimm
1936,New York Yankees,New York Yankees,8,5,3,Joe McCarthy,4,2,0,New York Giants,Bill Terry
1937,New York Yankees,New York Yankees,9,6,3,Joe McCarthy,4,1,0,New York Giants,Bill Terry
1938,New York Yankees,New York Yankees,10,7,3,Joe McCarthy,4,0,0,Chicago Cubs,Gabby Hartnett
1939,New York Yankees,New York Yankees,11,8,3,Joe McCarthy,4,0,0,Cincinnati Reds,Bill McKechnie
1940,Cincinnati Reds,Cincinnati Reds,3,2,1,Bill McKechnie,4,3,0,Detroit Tigers,Del Baker
1941,New York Yankees,New York Yankees,12,9,3,Joe McCarthy,4,1,0,Brooklyn Dodgers,Leo Durocher
1942,St. Louis Cardinals,St. Louis Cardinals,6,4,2,Billy Southworth,4,1,0,New York Yankees,Joe McCarthy
1943,New York Yankees,New York Yankees,14,10,4,Joe McCarthy,4,1,0,St. Louis Cardinals,Billy Southworth
1944,St. Louis Cardinals,St. Louis Cardinals,8,5,3,Billy Southworth,4,2,0,St. Louis Browns,Luke Sewell
1945,Detroit Tigers,Detroit Tigers,7,2,5,Steve O'Neill,4,3,0,Chicago Cubs,Charlie Grimm
1946,St. Louis Cardinals,St. Louis Cardinals,9,6,3,Eddie Dyer,4,3,0,Boston Red Sox,Joe Cronin
